payout_id,payout_date,vendor_id,amount,currency,status,description
PAY-1024,2024-03-16,V005,1633.68,USD,Completed,Payout to Cloudflare Inc. for monthly services
PAY-1046,2024-03-16,V009,10667.56,USD,Completed,Payout to WeWork Global for monthly services
PAY-1047,2024-03-16,V009,11258.49,USD,Completed,Payout to WeWork Global for monthly services
PAY-1035,2024-03-18,V007,9044.7,USD,Completed,Payout to Salesforce.com Inc. for monthly services
PAY-1036,2024-03-22,V007,8406.44,USD,Completed,Payout to Salesforce.com Inc. for monthly services
PAY-1002,2024-03-23,V001,10877.3,USD,Completed,"Payout to Amazon Web Services, Inc. for monthly services"
PAY-1053,2024-03-27,V010,6628.62,USD,Completed,Payout to Google Cloud Platform for monthly services
PAY-1065,2024-03-27,V012,1348.93,USD,Pending,Payout to Slack Technologies for monthly services
PAY-1014,2024-03-29,V003,6322.54,USD,Completed,Payout to Acme Corporation for monthly services
PAY-1041,2024-03-30,V008,13892.07,USD,Completed,Payout to Deloitte Advisory for monthly services
PAY-1060,2024-04-03,V011,2342.2,USD,Completed,Payout to Datadog Inc. for monthly services
PAY-1037,2024-04-06,V007,8791.56,USD,Pending,Payout to Salesforce.com Inc. for monthly services
PAY-1066,2024-04-06,V012,1543.88,USD,Completed,Payout to Slack Technologies for monthly services
PAY-1067,2024-04-08,V012,1693.56,USD,Completed,Payout to Slack Technologies for monthly services
PAY-1025,2024-04-09,V005,1792.17,USD,Completed,Payout to Cloudflare Inc. for monthly services
PAY-1009,2024-04-13,V002,5125.86,USD,Completed,Payout to Amazon Logistics LLC for monthly services
PAY-1015,2024-04-14,V003,6050.91,USD,Completed,Payout to Acme Corporation for monthly services
PAY-1030,2024-04-14,V006,6973.18,USD,Completed,Payout to Stripe Payments for monthly services
PAY-1054,2024-04-15,V010,7245.42,USD,Completed,Payout to Google Cloud Platform for monthly services
PAY-1003,2024-04-20,V001,11674.56,USD,Completed,"Payout to Amazon Web Services, Inc. for monthly services"
PAY-1048,2024-04-20,V009,11245.83,USD,Completed,Payout to WeWork Global for monthly services
PAY-1020,2024-04-23,V004,4329.8,USD,Completed,Payout to CloudScale Technologies for monthly services
PAY-1042,2024-04-26,V008,14500.95,USD,Completed,Payout to Deloitte Advisory for monthly services
PAY-1055,2024-04-29,V010,6803.9,USD,Failed,Payout to Google Cloud Platform for monthly services
PAY-1056,2024-05-03,V010,5516.97,USD,Completed,Payout to Google Cloud Platform for monthly services
PAY-1068,2024-05-03,V012,1461.45,USD,Completed,Payout to Slack Technologies for monthly services
PAY-1061,2024-05-04,V011,2721.74,USD,Completed,Payout to Datadog Inc. for monthly services
PAY-1043,2024-05-06,V008,11096.04,USD,Completed,Payout to Deloitte Advisory for monthly services
PAY-1021,2024-05-09,V004,3815.37,USD,Completed,Payout to CloudScale Technologies for monthly services
PAY-1017,2024-05-10,V003,5928.66,USD,Completed,Payout to Acme Corporation for monthly services
PAY-1016,2024-05-13,V003,7039.51,USD,Completed,Payout to Acme Corporation for monthly services
PAY-1027,2024-05-13,V005,1932.8,USD,Completed,Payout to Cloudflare Inc. for monthly services
PAY-1011,2024-05-14,V002,5086.4,USD,Completed,Payout to Amazon Logistics LLC for monthly services
PAY-1069,2024-05-17,V012,1206.46,USD,Completed,Payout to Slack Technologies for monthly services
PAY-1031,2024-05-18,V006,8486.47,USD,Pending,Payout to Stripe Payments for monthly services
PAY-1004,2024-05-19,V001,12173.83,USD,Completed,"Payout to Amazon Web Services, Inc. for monthly services"
PAY-1010,2024-05-19,V002,3609.42,USD,Completed,Payout to Amazon Logistics LLC for monthly services
PAY-1038,2024-05-21,V007,9211.31,USD,Completed,Payout to Salesforce.com Inc. for monthly services
PAY-1032,2024-05-23,V006,10023.23,USD,Completed,Payout to Stripe Payments for monthly services
PAY-1049,2024-05-24,V009,10755.01,USD,Pending,Payout to WeWork Global for monthly services
PAY-1070,2024-05-24,V003,58500.0,USD,Completed,Acme Corp Enterprise Global License Renewal (Spike Anomaly)
PAY-1026,2024-05-30,V005,1551.24,USD,Completed,Payout to Cloudflare Inc. for monthly services
PAY-1071,2024-05-31,V001,13420.5,USD,Completed,AWS Monthly Compute charges for May
