transaction_id,transaction_date,vendor_id,account_id,amount,transaction_type,payout_id,description
TXN-50034,2024-02-16,V007,ACC-6001,8811.69,Debit,PAY-1034,Payout to Salesforce.com Inc. for monthly services
TXN-50058,2024-02-16,V011,ACC-6001,2026.74,Debit,PAY-1058,Payout to Datadog Inc. for monthly services
TXN-50062,2024-02-17,V012,ACC-6001,1369.89,Debit,PAY-1062,Payout to Slack Technologies for monthly services
TXN-50072,2024-02-18,V002,ACC-6005,3860.77,Debit,,Incidental expense for Amazon Logistics LLC
TXN-50018,2024-02-19,V004,ACC-6002,2920.81,Debit,PAY-1018,Payout to CloudScale Technologies for monthly services
TXN-50012,2024-02-20,V003,ACC-6001,6437.48,Debit,PAY-1012,Payout to Acme Corporation for monthly services
TXN-50075,2024-02-20,V004,ACC-6002,2689.35,Debit,,Incidental expense for CloudScale Technologies
TXN-50083,2024-02-21,V010,ACC-6002,4483.21,Debit,,Incidental expense for Google Cloud Platform
TXN-50077,2024-02-23,V010,ACC-6002,2630.48,Debit,,Incidental expense for Google Cloud Platform
TXN-50079,2024-02-24,V006,ACC-6006,1226.35,Debit,,Incidental expense for Stripe Payments
TXN-50006,2024-02-26,V002,ACC-6005,4702.67,Debit,PAY-1006,Payout to Amazon Logistics LLC for monthly services
TXN-50028,2024-02-26,V006,ACC-6006,12582.18,Debit,PAY-1028,Payout to Stripe Payments for monthly services
TXN-50033,2024-02-26,V007,ACC-6001,8846.12,Debit,PAY-1033,Payout to Salesforce.com Inc. for monthly services
TXN-50045,2024-02-26,V009,ACC-6004,10957.86,Debit,PAY-1045,Payout to WeWork Global for monthly services
TXN-50082,2024-02-26,V002,ACC-6005,240.06,Debit,,Incidental expense for Amazon Logistics LLC
TXN-50057,2024-02-27,V011,ACC-6001,2346.43,Debit,PAY-1057,Payout to Datadog Inc. for monthly services
TXN-50008,2024-03-05,V002,ACC-6005,5048.58,Debit,PAY-1008,Payout to Amazon Logistics LLC for monthly services
TXN-50093,2024-03-05,V012,ACC-6001,2578.86,Debit,,Incidental expense for Slack Technologies
TXN-50029,2024-03-06,V006,ACC-6006,7019.41,Debit,PAY-1029,Payout to Stripe Payments for monthly services
TXN-50092,2024-03-06,V005,ACC-6002,696.34,Debit,,Incidental expense for Cloudflare Inc.
TXN-50087,2024-03-07,V008,ACC-6003,3785.1,Debit,,Incidental expense for Deloitte Advisory
TXN-50023,2024-03-08,V005,ACC-6002,1687.64,Debit,PAY-1023,Payout to Cloudflare Inc. for monthly services
TXN-50040,2024-03-09,V008,ACC-6003,12344.68,Debit,PAY-1040,Payout to Deloitte Advisory for monthly services
TXN-50052,2024-03-09,V010,ACC-6002,6393.65,Debit,PAY-1052,Payout to Google Cloud Platform for monthly services
TXN-50059,2024-03-10,V011,ACC-6001,1605.58,Debit,PAY-1059,Payout to Datadog Inc. for monthly services
TXN-50064,2024-03-10,V012,ACC-6001,1448.24,Debit,PAY-1064,Payout to Slack Technologies for monthly services
TXN-50094,2024-03-10,V005,ACC-6002,2800.77,Debit,,Incidental expense for Cloudflare Inc.
TXN-50097,2024-03-10,V001,ACC-6002,596.88,Debit,,"Incidental expense for Amazon Web Services, Inc."
TXN-50100,2024-03-10,V003,ACC-6001,3387.29,Debit,,Incidental expense for Acme Corporation
TXN-50007,2024-03-12,V002,ACC-6005,4402.94,Debit,PAY-1007,Payout to Amazon Logistics LLC for monthly services
TXN-50099,2024-03-12,V003,ACC-6001,2939.59,Debit,,Incidental expense for Acme Corporation
TXN-50098,2024-03-15,V005,ACC-6002,389.57,Debit,,Incidental expense for Cloudflare Inc.
TXN-50019,2024-03-16,V004,ACC-6002,2622.39,Debit,PAY-1019,Payout to CloudScale Technologies for monthly services
TXN-50024,2024-03-16,V005,ACC-6002,1633.68,Debit,PAY-1024,Payout to Cloudflare Inc. for monthly services
TXN-50046,2024-03-16,V009,ACC-6004,10667.56,Debit,PAY-1046,Payout to WeWork Global for monthly services
TXN-50047,2024-03-16,V009,ACC-6004,11258.49,Debit,PAY-1047,Payout to WeWork Global for monthly services
TXN-50035,2024-03-18,V007,ACC-6001,9044.7,Debit,PAY-1035,Payout to Salesforce.com Inc. for monthly services
TXN-50101,2024-03-19,V012,ACC-6001,2039.05,Debit,,Incidental expense for Slack Technologies
TXN-50036,2024-03-22,V007,ACC-6001,8406.44,Debit,PAY-1036,Payout to Salesforce.com Inc. for monthly services
TXN-50096,2024-03-22,V005,ACC-6002,2373.26,Debit,,Incidental expense for Cloudflare Inc.
TXN-50002,2024-03-23,V001,ACC-6002,10877.3,Debit,PAY-1002,"Payout to Amazon Web Services, Inc. for monthly services"
TXN-50090,2024-03-23,V009,ACC-6004,1487.33,Debit,,Incidental expense for WeWork Global
TXN-50091,2024-03-23,V002,ACC-6005,4237.4,Debit,,Incidental expense for Amazon Logistics LLC
TXN-50088,2024-03-24,V005,ACC-6002,2830.21,Debit,,Incidental expense for Cloudflare Inc.
TXN-50095,2024-03-24,V006,ACC-6006,1075.47,Debit,,Incidental expense for Stripe Payments
TXN-50053,2024-03-27,V010,ACC-6002,6628.62,Debit,PAY-1053,Payout to Google Cloud Platform for monthly services
TXN-50065,2024-03-27,V012,ACC-6001,1348.93,Debit,PAY-1065,Payout to Slack Technologies for monthly services
TXN-50089,2024-03-27,V011,ACC-6001,2474.44,Debit,,Incidental expense for Datadog Inc.
TXN-50014,2024-03-29,V003,ACC-6001,6322.54,Debit,PAY-1014,Payout to Acme Corporation for monthly services
TXN-50041,2024-03-30,V008,ACC-6003,13892.07,Debit,PAY-1041,Payout to Deloitte Advisory for monthly services
TXN-50102,2024-04-02,V002,ACC-6005,523.55,Debit,,Incidental expense for Amazon Logistics LLC
TXN-50114,2024-04-02,V003,ACC-6001,3367.23,Debit,,Incidental expense for Acme Corporation
TXN-50060,2024-04-03,V011,ACC-6001,2342.2,Debit,PAY-1060,Payout to Datadog Inc. for monthly services
TXN-50109,2024-04-05,V006,ACC-6006,3554.5,Debit,,Incidental expense for Stripe Payments
TXN-50037,2024-04-06,V007,ACC-6001,8791.56,Debit,PAY-1037,Payout to Salesforce.com Inc. for monthly services
TXN-50066,2024-04-06,V012,ACC-6001,1543.88,Debit,PAY-1066,Payout to Slack Technologies for monthly services
TXN-50106,2024-04-06,V001,ACC-6002,1525.51,Debit,,"Incidental expense for Amazon Web Services, Inc."
TXN-50067,2024-04-08,V012,ACC-6001,1693.56,Debit,PAY-1067,Payout to Slack Technologies for monthly services
TXN-50108,2024-04-08,V011,ACC-6001,1272.98,Debit,,Incidental expense for Datadog Inc.
TXN-50025,2024-04-09,V005,ACC-6002,1792.17,Debit,PAY-1025,Payout to Cloudflare Inc. for monthly services
TXN-50112,2024-04-09,V003,ACC-6001,4397.69,Debit,,Incidental expense for Acme Corporation
TXN-50115,2024-04-12,V007,ACC-6001,3649.61,Debit,,Incidental expense for Salesforce.com Inc.
TXN-50009,2024-04-13,V002,ACC-6005,5125.86,Debit,PAY-1009,Payout to Amazon Logistics LLC for monthly services
TXN-50015,2024-04-14,V003,ACC-6001,6050.91,Debit,PAY-1015,Payout to Acme Corporation for monthly services
TXN-50030,2024-04-14,V006,ACC-6006,6973.18,Debit,PAY-1030,Payout to Stripe Payments for monthly services
TXN-50054,2024-04-15,V010,ACC-6002,7245.42,Debit,PAY-1054,Payout to Google Cloud Platform for monthly services
TXN-50104,2024-04-19,V001,ACC-6002,3788.76,Debit,,"Incidental expense for Amazon Web Services, Inc."
TXN-50003,2024-04-20,V001,ACC-6002,11674.56,Debit,PAY-1003,"Payout to Amazon Web Services, Inc. for monthly services"
TXN-50048,2024-04-20,V009,ACC-6004,11245.83,Debit,PAY-1048,Payout to WeWork Global for monthly services
TXN-50105,2024-04-20,V009,ACC-6004,836.8,Debit,,Incidental expense for WeWork Global
TXN-50020,2024-04-23,V004,ACC-6002,4329.8,Debit,PAY-1020,Payout to CloudScale Technologies for monthly services
TXN-50111,2024-04-25,V003,ACC-6001,4180.78,Debit,,Incidental expense for Acme Corporation
TXN-50042,2024-04-26,V008,ACC-6003,14500.95,Debit,PAY-1042,Payout to Deloitte Advisory for monthly services
TXN-50113,2024-04-27,V003,ACC-6001,3990.09,Debit,,Incidental expense for Acme Corporation
TXN-50055,2024-04-29,V010,ACC-6002,6803.9,Debit,PAY-1055,Payout to Google Cloud Platform for monthly services
TXN-50116,2024-04-29,V012,ACC-6001,3686.22,Debit,,Incidental expense for Slack Technologies
TXN-50103,2024-04-30,V012,ACC-6001,4086.89,Debit,,Incidental expense for Slack Technologies
TXN-50107,2024-04-30,V001,ACC-6002,4065.38,Debit,,"Incidental expense for Amazon Web Services, Inc."
TXN-50110,2024-04-30,V007,ACC-6001,4387.5,Debit,,Incidental expense for Salesforce.com Inc.
TXN-50056,2024-05-03,V010,ACC-6002,5516.97,Debit,PAY-1056,Payout to Google Cloud Platform for monthly services
TXN-50068,2024-05-03,V012,ACC-6001,1461.45,Debit,PAY-1068,Payout to Slack Technologies for monthly services
TXN-50061,2024-05-04,V011,ACC-6001,2721.74,Debit,PAY-1061,Payout to Datadog Inc. for monthly services
TXN-50118,2024-05-05,V007,ACC-6001,3950.32,Debit,,Incidental expense for Salesforce.com Inc.
TXN-50127,2024-05-05,V005,ACC-6002,967.84,Debit,,Incidental expense for Cloudflare Inc.
TXN-50043,2024-05-06,V008,ACC-6003,11096.04,Debit,PAY-1043,Payout to Deloitte Advisory for monthly services
TXN-50021,2024-05-09,V004,ACC-6002,3815.37,Debit,PAY-1021,Payout to CloudScale Technologies for monthly services
TXN-50017,2024-05-10,V003,ACC-6001,5928.66,Debit,PAY-1017,Payout to Acme Corporation for monthly services
TXN-50117,2024-05-10,V003,ACC-6001,3585.71,Debit,,Incidental expense for Acme Corporation
TXN-50123,2024-05-10,V002,ACC-6005,4357.62,Debit,,Incidental expense for Amazon Logistics LLC
TXN-50124,2024-05-10,V006,ACC-6006,2958.37,Debit,,Incidental expense for Stripe Payments
TXN-50128,2024-05-10,V001,ACC-6002,666.13,Debit,,"Incidental expense for Amazon Web Services, Inc."
TXN-50130,2024-05-12,V007,ACC-6001,2806.7,Debit,,Incidental expense for Salesforce.com Inc.
TXN-50016,2024-05-13,V003,ACC-6001,7039.51,Debit,PAY-1016,Payout to Acme Corporation for monthly services
TXN-50027,2024-05-13,V005,ACC-6002,1932.8,Debit,PAY-1027,Payout to Cloudflare Inc. for monthly services
TXN-50011,2024-05-14,V002,ACC-6005,5086.4,Debit,PAY-1011,Payout to Amazon Logistics LLC for monthly services
TXN-50125,2024-05-14,V011,ACC-6001,4418.94,Debit,,Incidental expense for Datadog Inc.
TXN-50129,2024-05-15,V006,ACC-6006,3332.74,Debit,,Incidental expense for Stripe Payments
TXN-50069,2024-05-17,V012,ACC-6001,1206.46,Debit,PAY-1069,Payout to Slack Technologies for monthly services
TXN-50031,2024-05-18,V006,ACC-6006,8486.47,Debit,PAY-1031,Payout to Stripe Payments for monthly services
TXN-50131,2024-05-18,V002,ACC-6005,1856.34,Debit,,Incidental expense for Amazon Logistics LLC
TXN-50004,2024-05-19,V001,ACC-6002,12173.83,Debit,PAY-1004,"Payout to Amazon Web Services, Inc. for monthly services"
TXN-50010,2024-05-19,V002,ACC-6005,3609.42,Debit,PAY-1010,Payout to Amazon Logistics LLC for monthly services
TXN-50126,2024-05-19,V006,ACC-6006,4238.72,Debit,,Incidental expense for Stripe Payments
TXN-50038,2024-05-21,V007,ACC-6001,9211.31,Debit,PAY-1038,Payout to Salesforce.com Inc. for monthly services
TXN-50032,2024-05-23,V006,ACC-6006,10023.23,Debit,PAY-1032,Payout to Stripe Payments for monthly services
TXN-50122,2024-05-23,V004,ACC-6002,1913.4,Debit,,Incidental expense for CloudScale Technologies
TXN-50049,2024-05-24,V009,ACC-6004,10755.01,Debit,PAY-1049,Payout to WeWork Global for monthly services
TXN-50070,2024-05-24,V003,ACC-6001,58500.0,Debit,PAY-1070,Acme Corp Enterprise Global License Renewal (Spike Anomaly)
TXN-50120,2024-05-28,V008,ACC-6003,1703.53,Debit,,Incidental expense for Deloitte Advisory
TXN-50121,2024-05-28,V004,ACC-6002,1158.57,Debit,,Incidental expense for CloudScale Technologies
TXN-50119,2024-05-29,V008,ACC-6003,1156.46,Debit,,Incidental expense for Deloitte Advisory
TXN-50026,2024-05-30,V005,ACC-6002,1551.24,Debit,PAY-1026,Payout to Cloudflare Inc. for monthly services
TXN-50071,2024-05-31,V001,ACC-6002,13420.5,Debit,PAY-1071,AWS Monthly Compute charges for May
